officer_id,po_race,po_sex,po_assigned_unit,po_district_number,allegations_investigated,investigative_findings,disciplinary_findings,complaint_id,officer_complaint_id
14975664,white,male,1500 15TH DISTRICT,15,Unprofessional Conduct,No Sustained Findings,Not Applicable,15-0147,15-0147-14975664
32476884,white,male,0800 08TH DISTRICT,8,Lack of Service,No Sustained Findings,Not Applicable,15-0148,15-0148-32476884
76295167,black,male,1500 15TH DISTRICT,15,Harassment,No Sustained Findings,Not Applicable,15-0149,15-0149-76295167
76295167,black,male,1500 15TH DISTRICT,15,Lack of Service,No Sustained Findings,Not Applicable,15-0149,15-0149-76295167
93902475,latino,male,1500 15TH DISTRICT,15,Lack of Service,No Sustained Findings,Not Applicable,15-0149,15-0149-93902475
93902475,latino,male,1500 15TH DISTRICT,15,Harassment,No Sustained Findings,Not Applicable,15-0149,15-0149-93902475
48021165,white,male,1700 17TH DISTRICT,17,Departmental Violation,Sustained Finding,Training/Counseling,15-0150,15-0150-48021165
48021165,white,male,1700 17TH DISTRICT,17,Physical Abuse,No Sustained Findings,Not Applicable,15-0150,15-0150-48021165
21098825,white,male,1700 17TH DISTRICT,17,Physical Abuse,No Sustained Findings,Not Applicable,15-0150,15-0150-21098825
21098825,white,male,1700 17TH DISTRICT,17,Departmental Violation,Sustained Finding,Training/Counseling,15-0150,15-0150-21098825
23153955,black,male,1700 17TH DISTRICT,17,Unprofessional Conduct,No Sustained Findings,Not Applicable,15-0150,15-0150-23153955
20717737,white,male,2200 22ND DISTRICT,22,Physical Abuse,No Sustained Findings,Not Applicable,15-0151,15-0151-20717737
64698068,white,male,1400 14TH DISTRICT,14,Harassment,No Sustained Findings,Not Applicable,15-0152,15-0152-64698068
82000162,white,male,5300 HIGHWAY PATROL,,Departmental Violation,Sustained Finding,Training/Counseling,15-0153,15-0153-82000162
88498918,white,male,1500 15TH DISTRICT,15,Harassment,No Sustained Findings,Not Applicable,15-0153,15-0153-88498918
95329152,latino,male,1500 15TH DISTRICT,15,Harassment,No Sustained Findings,Not Applicable,15-0153,15-0153-95329152
54162523,black,male,7700 AIRPORT,,Lack of Service,No Sustained Findings,Not Applicable,15-0154,15-0154-54162523
53367044,black,male,1900 19TH DISTRICT,19,Unprofessional Conduct,No Sustained Findings,Not Applicable,15-0155,15-0155-53367044
17179452,white,male,1900 19TH DISTRICT,19,Verbal Abuse,No Sustained Findings,Not Applicable,15-0155,15-0155-17179452
45238191,black,male,1200 12TH DISTRICT,12,Verbal Abuse,No Sustained Findings,Not Applicable,15-0156,15-0156-45238191
88890478,white,male,1200 12TH DISTRICT,12,Physical Abuse,No Sustained Findings,Not Applicable,15-0156,15-0156-88890478
88890478,white,male,1200 12TH DISTRICT,12,Verbal Abuse,No Sustained Findings,Not Applicable,15-0156,15-0156-88890478
88294984,black,male,4922 RADIO ROOM,,Lack of Service,No Sustained Findings,Not Applicable,15-0157,15-0157-88294984
18990480,white,male,3900 39TH DISTRICT,39,Lack of Service,No Sustained Findings,Not Applicable,15-0158,15-0158-18990480
29333764,white,male,1700 17TH DISTRICT,17,Lack of Service,No Sustained Findings,Not Applicable,15-0159,15-0159-29333764
41164495,black,male,1900 19TH DISTRICT,19,Lack of Service,Sustained Finding,Training/Counseling,15-0160,15-0160-41164495
18297483,white,male,1900 19TH DISTRICT,19,Lack of Service,Sustained Finding,Training/Counseling,15-0160,15-0160-18297483
59235803,white,male,2400 24TH DISTRICT,24,Departmental Violation,No Sustained Findings,Not Applicable,15-0161,15-0161-59235803
59235803,white,male,2400 24TH DISTRICT,24,Other Misconduct,No Sustained Findings,Not Applicable,15-0161,15-0161-59235803
12219125,white,male,3500 35TH DISTRICT,35,Harassment,No Sustained Findings,Not Applicable,15-0162,15-0162-12219125
12219125,white,male,3500 35TH DISTRICT,35,Departmental Violation,No Sustained Findings,Not Applicable,15-0162,15-0162-12219125
22528764,black,male,4500 CENTER CITY DISTRIC,,Unprofessional Conduct,No Sustained Findings,Not Applicable,15-0163,15-0163-22528764
84958230,white,male,4500 CENTER CITY DISTRIC,,Unprofessional Conduct,No Sustained Findings,Not Applicable,15-0163,15-0163-84958230
14892751,white,male,2200 22ND DISTRICT,22,Lack of Service,No Sustained Findings,Not Applicable,15-0164,15-0164-14892751
55615808,white,male,2200 22ND DISTRICT,22,Lack of Service,No Sustained Findings,Not Applicable,15-0164,15-0164-55615808
87506372,asian,male,1800 18TH DISTRICT,18,Verbal Abuse,No Sustained Findings,Not Applicable,15-0165,15-0165-87506372
87506372,asian,male,1800 18TH DISTRICT,18,Departmental Violation,No Sustained Findings,Not Applicable,15-0165,15-0165-87506372
87506372,asian,male,1800 18TH DISTRICT,18,Verbal Abuse,No Sustained Findings,Not Applicable,15-0165,15-0165-87506372
40046464,white,male,1800 18TH DISTRICT,18,Verbal Abuse,No Sustained Findings,Not Applicable,15-0165,15-0165-40046464
57317659,white,male,9807 SUPP POLICE SERVICE,,Departmental Violation,No Sustained Findings,Not Applicable,15-0166,15-0166-57317659
57317659,white,male,9807 SUPP POLICE SERVICE,,Physical Abuse,No Sustained Findings,Not Applicable,15-0166,15-0166-57317659
24791261,black,male,9815 NARCOTICS BUREAU,,Domestic,Sustained Finding,Guilty Finding,15-0167,15-0167-24791261
87506372,asian,male,1800 18TH DISTRICT,18,Verbal Abuse,Sustained Finding,Training/Counseling,15-0168,15-0168-87506372
87506372,asian,male,1800 18TH DISTRICT,18,Physical Abuse,No Sustained Findings,Not Applicable,15-0168,15-0168-87506372
46706239,white,male,1900 19TH DISTRICT,19,Verbal Abuse,Sustained Finding,Training/Counseling,15-0168,15-0168-46706239
,,,,,No C.A.P. Investigation,Not Applicable,Not Applicable,15-0169,15-0169-
56774179,white,male,2500 25TH DISTRICT,25,Lack of Service,No Sustained Findings,Not Applicable,15-0170,15-0170-56774179
95351983,white,male,0600 06TH DISTRICT,6,Lack of Service,No Sustained Findings,Not Applicable,15-0170,15-0170-95351983
58880121,other,male,2500 25TH DISTRICT,25,Lack of Service,No Sustained Findings,Not Applicable,15-0170,15-0170-58880121
94354974,latino,female,6400 NORTHEAST DET,,No C.A.P. Investigation,Not Applicable,Not Applicable,15-0171,15-0171-94354974
