complaint_id,date_received,district_occurrence,general_cap_classification,summary
15-0147,4/1/15,15,LACK OF SERVICE,"According to the complainant, on 3-22-15 at 4:45pm, they were treated unprofessionally by officers assigned to the 15th District."
15-0148,4/1/15,8,LACK OF SERVICE,"According to the complainant, on 3-20-15 at 8:40pm, they did not receive proper service from an officer assigned to the 8th District."
15-0149,4/1/15,15,HARASSMENT,"According to the complainant, on 3-25-15 at 7:25pm, they were harassed by officers assigned to the 15th District."
15-0150,4/1/15,17,PHYSICAL ABUSE,"According to the complainant, on 3-21-15 at 8:15pm, they were physically abused by unknown 17th District officers and treated unprofessionally by a corporal, assigned to the 17th District."
15-0151,4/6/15,23,PHYSICAL ABUSE,"According to the complainant, on 3-25-15 at 6:30pm, they were physically abused by an unidentified 22nd District officer."
15-0152,4/7/15,14,UNPROFESSIONAL CONDUCT,"According to the complainant, on 3-31-15 at approximately 2:30pm, they were harassed by an officer assigned to the 14th District."
15-0153,4/2/15,15,HARASSMENT,"According to the complainant, on 3-25-15 at 11:55am, they were harassed by an unidentified off-duty police officer with in the 15th District."
15-0154,4/6/15,77,LACK OF SERVICE,"According to the complainant, on 1-29-15 at 1:00pm, an officer assigned to the Airport Unit, did not follow proper police procedure."
15-0155,4/7/15,19,UNPROFESSIONAL CONDUCT,"According to the complainant, on 3-31-15 at 4:25pm, they were treated unprofessionally and verbally abused by unidentified 19th District officers."
15-0156,4/9/15,12,PHYSICAL ABUSE,"According to the complainant, on 4-3-15 at 12:20am, they were physically and verbally abused by officers assigned to the 12th District."
15-0157,4/7/15,6,UNPROFESSIONAL CONDUCT,"According to the complainant, on 4-5-15 at 8:30pm, they were treated unprofessionally by an unidentified police dispatcher."
15-0158,4/9/15,39,LACK OF SERVICE,"According to the complainant, on 4-6-15, they did not receive proper service from a sergeant and other unidentified 39th District officers."
15-0159,4/9/15,17,LACK OF SERVICE,"According to the complainant, on 10-11-13 at 7:00pm, they did not receive proper service from an officer assigned to the 17th District."
15-0160,4/9/15,19,LACK OF SERVICE,"According to the complainant, on 9-16-14 at 12:14pm, they did not receive proper service from officers assigned to the 19th District."
15-0161,4/10/15,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-12-15 at 7:00pm, their partner was falsely arrested and physically abused by an officer assigned to the 24th District."
15-0162,4/10/15,35,HARASSMENT,"According to the complainant, on 4-7-15 at 10:00am, they were harassed by an officer assigned to the 35th District."
15-0163,4/14/15,6,UNPROFESSIONAL CONDUCT,"According to the complainant, on 4-10-15 at 8:15am, they were verbally abused and treated unprofessionally by unknown officers assigned to the Center City District."
15-0164,4/14/15,22,LACK OF SERVICE,"According to the complainant, on 4-4-15 at 4:24am, they did not receive proper service from officers assigned to the 22nd District."
15-0165,4/16/15,18,PHYSICAL ABUSE,"According to the complainant, on behalf of a juvenile, stated that they were falsely cited, physically and verbally abused by officers assigned to the 18th District."
15-0166,4/13/15,22,PHYSICAL ABUSE,"According to the complainant, on 4-3-15 at 7:40pm, they were physically abused by an officer assigned to the 22nd District."
15-0167,4/14/15,N/A,CRIMINAL ALLEGATION,"According to the complainant, on 4-12-15 at 1:18am, they were threatened by an officer assigned to the Narcotics Bureau."
15-0168,4/14/15,6,PHYSICAL ABUSE,"According to the complainant, on 4-10-15 at 10:20am, they were treated unprofessionally and physically abused by an officer assigned to the 18th District."
15-0169,4/20/15,6,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 4-10-15, they did not receive proper service from unknown 911 dispatchers and unknown officers in the 22nd District."
