income,total_count,guilty_count,sustained_count,income,guilty_rate,sustained_rate
4,705,21,194,21042,0.029787234,0.275177305
21121,320,5,41,21121,0.015625,0.128125
23114,887,24,159,23114,0.027057497,0.179255919
29183,509,3,50,29183,0.00589391,0.098231827
30284,448,6,69,30284,0.013392857,0.154017857
33310.5,646,6,77,33310.5,0.009287926,0.119195046
34863.5,639,3,123,34863.5,0.004694836,0.192488263
37422,1032,11,196,37422,0.010658915,0.189922481
40432,203,1,26,40432,0.004926108,0.128078818
41071,869,15,120,41071,0.01726122,0.138089758
43538,993,17,133,43538,0.017119839,0.133937563
44643,176,2,27,44643,0.011363636,0.153409091
44979,429,12,70,44979,0.027972028,0.163170163
48347,758,4,101,48347,0.005277045,0.133245383
51667,244,6,25,51667,0.024590164,0.102459016
55033,231,7,46,55033,0.03030303,0.199134199
56042,346,11,49,56042,0.031791908,0.141618497
58516,312,9,47,58516,0.028846154,0.150641026
64038,566,22,95,64038,0.038869258,0.167844523
71705,147,5,27,71705,0.034013605,0.183673469
84357.5,329,14,61,84357.5,0.042553191,0.185410334
