district,pct_black,median_district_income,total_district_population
1,28.22490042,44643,39164
2,31.76209462,44979,121645
3,7.105977476,58516,86575
5,12.38567245,,44390
6,14.49715181,64038,40201
7,9.042394181,55033,90319
8,12.30178791,,96929
9,9.163570076,84357.5,57052
12,84.04172876,29183,67100
14,74.59821117,48347,114488
15,27.87647514,43538,133123
16,70.3941098,21121,41968
17,46.15527878,51667,42955
18,58.29157233,33310.5,78622
19,85.50474452,41071,90947
22,74.59077325,21042,65917
24,18.9391827,34863.5,64554
25,29.97719329,23114,80678
26,18.25872472,40432,49056
35,73.69325966,37422,108763
39,75.31050123,30284,56441
77,,,
