complaint_id,officer_initials,po_race,po_sex,allegations_investigated,investigative_findings,disciplinary_findings,po_assigned_unit,po_district_number,officer_id,officer_complaint_id,discipline_id
13-0001,CC,white,male,Lack of Service,Sustained Finding,Training/Counseling,,,,13-0001-CC,13-0001-CC-Lack of Service
13-0001,KS,white,female,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0001-KS,13-0001-KS-Physical Abuse
13-0001,KS,white,female,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0001-KS,13-0001-KS-Physical Abuse
13-0001,LN,black,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0001-LN,13-0001-LN-Verbal Abuse
13-0001,TD,white,male,Verbal Abuse,Sustained Finding,Guilty Finding,,,,13-0001-TD,13-0001-TD-Verbal Abuse
13-0002,JM,white,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0002-JM,13-0002-JM-Lack of Service
13-0003,CW,asian,male,Verbal Abuse,Sustained Finding,Guilty Finding,,,,13-0003-CW,13-0003-CW-Verbal Abuse
13-0003,CW,asian,male,Departmental Violation,Sustained Finding,Guilty Finding,,,,13-0003-CW,13-0003-CW-Departmental Violation
13-0004,GB,black,male,Departmental Violation,Sustained Finding,Pending,,,,13-0004-GB,13-0004-GB-Departmental Violation
13-0004,RB,black,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0004-RB,13-0004-RB-Physical Abuse
13-0004,RB,black,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0004-RB,13-0004-RB-Verbal Abuse
13-0004,RB,black,male,Departmental Violation,Sustained Finding,Pending,,,,13-0004-RB,13-0004-RB-Departmental Violation
13-0005,CS,white,female,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0005-CS,13-0005-CS-Departmental Violation
13-0005,JS,white,male,Sexual Crime/Misconduct,No Sustained Findings,Not Applicable,,,,13-0005-JS,13-0005-JS-Sexual Crime/Misconduct
13-0005,JS,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0005-JS,13-0005-JS-Departmental Violation
13-0005,CS,white,female,Sexual Crime/Misconduct,No Sustained Findings,Not Applicable,,,,13-0005-CS,13-0005-CS-Sexual Crime/Misconduct
13-0006,JL,black,male,Harassment,No Sustained Findings,Not Applicable,,,,13-0006-JL,13-0006-JL-Harassment
13-0007,TW,black,male,Harassment,Sustained Finding,Training/Counseling,,,,13-0007-TW,13-0007-TW-Harassment
13-0008,SK,white,female,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0008-SK,13-0008-SK-Lack of Service
13-0009,JR,white,male,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0009-JR,13-0009-JR-Unprofessional Conduct
13-0009,JR,white,male,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0009-JR,13-0009-JR-Unprofessional Conduct
13-0009,JR,white,male,Harassment,No Sustained Findings,Not Applicable,,,,13-0009-JR,13-0009-JR-Harassment
13-0009,JR,white,male,Departmental Violation,Sustained Finding,Pending,,,,13-0009-JR,13-0009-JR-Departmental Violation
13-0010,JM,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0010-JM,13-0010-JM-Departmental Violation
13-0010,MC,black,female,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0010-MC,13-0010-MC-Physical Abuse
13-0011,WG,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0011-WG,13-0011-WG-Departmental Violation
13-0011,MW,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0011-MW,13-0011-MW-Departmental Violation
13-0012,JR,white,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0012-JR,13-0012-JR-Lack of Service
13-0012,JR,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0012-JR,13-0012-JR-Departmental Violation
13-0012,BM,white,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0012-BM,13-0012-BM-Lack of Service
13-0012,BM,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0012-BM,13-0012-BM-Physical Abuse
13-0012,BM,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0012-BM,13-0012-BM-Departmental Violation
13-0013,MH,white,male,Criminal Allegation,No Sustained Findings,Not Applicable,,,,13-0013-MH,13-0013-MH-Criminal Allegation
13-0013,TM,black,female,Criminal Allegation,No Sustained Findings,Not Applicable,,,,13-0013-TM,13-0013-TM-Criminal Allegation
13-0014,JP,black,male,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0014-JP,13-0014-JP-Unprofessional Conduct
13-0014,JC,white,male,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0014-JC,13-0014-JC-Unprofessional Conduct
13-0014,OJ,black,male,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0014-OJ,13-0014-OJ-Unprofessional Conduct
13-0015,,,,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0015-,13-0015--Departmental Violation
13-0016,,,,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0016-,13-0016--Lack of Service
13-0016,ML,white,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0016-ML,13-0016-ML-Lack of Service
13-0016,KS,white,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0016-KS,13-0016-KS-Lack of Service
13-0017,,,,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0017-,13-0017--Departmental Violation
13-0017,,,,Criminal Allegation,No Sustained Findings,Not Applicable,,,,13-0017-,13-0017--Criminal Allegation
13-0018,DS,latino,female,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0018-DS,13-0018-DS-Lack of Service
13-0019,JB,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0019-JB,13-0019-JB-Departmental Violation
13-0019,JB,white,male,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0019-JB,13-0019-JB-Unprofessional Conduct
13-0019,JB,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0019-JB,13-0019-JB-Physical Abuse
13-0019,JB,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0019-JB,13-0019-JB-Physical Abuse
13-0020,EM,white,female,Harassment,No Sustained Findings,Not Applicable,,,,13-0020-EM,13-0020-EM-Harassment
13-0020,EM,white,female,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0020-EM,13-0020-EM-Verbal Abuse
13-0021,,,,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0021-,13-0021--Departmental Violation
13-0021,RD,black,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0021-RD,13-0021-RD-Physical Abuse
13-0021,JO,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0021-JO,13-0021-JO-Physical Abuse
13-0022,MT,latino,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0022-MT,13-0022-MT-Verbal Abuse
13-0023,RH,black,female,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0023-RH,13-0023-RH-Unprofessional Conduct
13-0023,RH,black,female,Harassment,No Sustained Findings,Not Applicable,,,,13-0023-RH,13-0023-RH-Harassment
13-0024,GF,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0024-GF,13-0024-GF-Departmental Violation
13-0024,GF,white,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0024-GF,13-0024-GF-Verbal Abuse
13-0024,GF,white,male,Criminal Allegation,No Sustained Findings,Not Applicable,,,,13-0024-GF,13-0024-GF-Criminal Allegation
13-0025,MB,white,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0025-MB,13-0025-MB-Verbal Abuse
13-0025,MB,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0025-MB,13-0025-MB-Physical Abuse
13-0025,PR,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0025-PR,13-0025-PR-Physical Abuse
13-0025,PR,white,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0025-PR,13-0025-PR-Verbal Abuse
13-0026,JW,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0026-JW,13-0026-JW-Physical Abuse
13-0027,AB,black,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0027-AB,13-0027-AB-Lack of Service
13-0028,DJ,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0028-DJ,13-0028-DJ-Physical Abuse
13-0029,JL,black,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0029-JL,13-0029-JL-Departmental Violation
13-0029,SH,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0029-SH,13-0029-SH-Departmental Violation
13-0029,CY,white,female,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0029-CY,13-0029-CY-Verbal Abuse
13-0029,DD,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0029-DD,13-0029-DD-Departmental Violation
13-0030,DO,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0030-DO,13-0030-DO-Departmental Violation
13-0030,DO,white,male,Criminal Allegation,No Sustained Findings,Not Applicable,,,,13-0030-DO,13-0030-DO-Criminal Allegation
13-0030,CG,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0030-CG,13-0030-CG-Departmental Violation
13-0030,CG,white,male,Criminal Allegation,No Sustained Findings,Not Applicable,,,,13-0030-CG,13-0030-CG-Criminal Allegation
13-0031,TW,black,male,Departmental Violation,Sustained Finding,Guilty Finding,,,,13-0031-TW,13-0031-TW-Departmental Violation
13-0031,TW,black,male,Departmental Violation,Sustained Finding,Guilty Finding,,,,13-0031-TW,13-0031-TW-Departmental Violation
13-0031,TW,black,male,Unprofessional Conduct,Sustained Finding,Guilty Finding,,,,13-0031-TW,13-0031-TW-Unprofessional Conduct
13-0031,TW,black,male,Departmental Violation,Sustained Finding,Guilty Finding,,,,13-0031-TW,13-0031-TW-Departmental Violation
13-0032,AG,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0032-AG,13-0032-AG-Departmental Violation
13-0032,,,,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0032-,13-0032--Departmental Violation
