cap_number,po_initials,po_race,po_sex,allegations_investigated,investigative_findings,disciplinary_findings
13-0001,CC,White,Male,Lack of Service,Sustained Finding,Training/Counseling
13-0001,KS,White,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0001,KS,White,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0001,LN,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0001,TD,White,Male,Verbal Abuse,Sustained Finding,Guilty Finding
13-0002,JM,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0003,CW,Asian,Male,Verbal Abuse,Sustained Finding,Guilty Finding
13-0003,CW,Asian,Male,Departmental Violation,Sustained Finding,Guilty Finding
13-0004,GB,Black,Male,Departmental Violation,Sustained Finding,Pending
13-0004,RB,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0004,RB,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0004,RB,Black,Male,Departmental Violation,Sustained Finding,Pending
13-0005,CS,White,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0005,JS,White,Male,Sexual Crime/Misconduct,Other than Sustained Finding,Not Applicable
13-0005,JS,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0005,CS,White,Female,Sexual Crime/Misconduct,Other than Sustained Finding,Not Applicable
13-0006,JL,Black,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0007,TW,Black,Male,Harassment,Sustained Finding,Training/Counseling
13-0008,SK,White,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0009,JR,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0009,JR,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0009,JR,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0009,JR,White,Male,Departmental Violation,Sustained Finding,Pending
13-0010,JM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0010,MC,Black,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0011,WG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0011,MW,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0012,JR,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0012,JR,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0012,BM,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0012,BM,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0012,BM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0013,MH,White,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0013,TM,Black,Female,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0014,JP,Black,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0014,JC,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0014,OJ,Black,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0015,UNK,UNK,UNK,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0016,UNK,UNK,UNK,Lack of Service,Other than Sustained Finding,Not Applicable
13-0016,ML,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0016,KS,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0017,UNK,UNK,UNK,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0017,UNK,UNK,UNK,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0018,DS,Latino,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0019,JB,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0019,JB,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0019,JB,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0019,JB,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0020,EM,White,Female,Harassment,Other than Sustained Finding,Not Applicable
13-0020,EM,White,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0021,UNK,UNK,UNK,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0021,RD,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0021,JO,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0022,MT,Latino,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0023,RH,Black,Female,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0023,RH,Black,Female,Harassment,Other than Sustained Finding,Not Applicable
13-0024,GF,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0024,GF,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0024,GF,White,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0025,MB,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0025,MB,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0025,PR,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0025,PR,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0026,JW,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0027,AB,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0028,DJ,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0029,JL,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0029,SH,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0029,CY,White,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0029,DD,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0030,DO,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
