the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,time,inside,outside,fatal,lat,lng
0101000020E610000018837FF816C552C04AC8EE9F7A034440,0101000020110F0000DF22E1ADEDE15FC18334D42FC1935241,27,2019.0,201915036712,0411,2019-04-18,B,M,18,foot,N,N,N,5300 BLOCK Akron St,0,-75.07952702,40.02717971,15,15:26:00,0,1,0,40.02717971,-75.07952702
0101000020E6100000E30C93E3ADC652C0E8EF8C5380054440,0101000020110F00005966EFDEA0E45FC1AE16E972FF955241,28,2019.0,201902021418,0411,2019-04-18,B,M,30,arm,N,N,N,400 BLOCK E Cheltenham Ave,0,-75.10436334,40.04297871,02,12:39:00,0,1,0,40.04297871,-75.10436334
0101000020E61000004621EABAC7C752C03D6C3BD037034440,0101000020110F000070343F9B7FE65FC103EEFA1577935241,29,2019.0,201925030290,0411,2019-04-18,W,M,17,thigh,N,N,N,200 BLOCK E Ruscomb St,1,-75.12156556,40.02514079,25,19:01:00,0,1,0,40.02514079,-75.12156556
0101000020E61000002DE7947867CA52C069F04AD483FC4340,0101000020110F0000F4B13CA0F4EA5FC1C9C6F3A1088C5241,30,2019.0,201922031788,0411,2019-04-18,B,M,25,leg,N,N,N,1600 BLOCK W Stiles St,0,-75.16256537,39.97277311,22,21:32:00,0,1,0,39.97277311,-75.16256537
0101000020E610000009C40C09EFCE52C065D89386BBFC4340,0101000020110F000048563B43A6F25FC164E4C35B468C5241,31,2019.0,201919032044,0411,2019-04-18,B,M,54,abdomen,N,N,N,1400 BLOCK N 56th St,0,-75.23333956,39.97447284,19,01:06:00,0,1,0,39.97447283,-75.23333956
0101000020E610000009C40C09EFCE52C065D89386BBFC4340,0101000020110F000048563B43A6F25FC164E4C35B468C5241,32,2019.0,201919032045,0411,2019-04-18,B,F,64,multi,N,N,N,1400 BLOCK N 56th St,0,-75.23333956,39.97447284,19,02:27:00,0,1,0,39.97447283,-75.23333956
0101000020E610000002E2A6ED7CCE52C04AE6DC16FAF74340,0101000020110F0000C599BB70E4F15FC1F6027B7A01875241,33,2019.0,201912029784,0111,2019-04-18,B,M,38,multi,N,N,N,5600 BLOCK Chester Ave,0,-75.22637502,39.93731962,12,01:44:00,0,1,1,39.93731962,-75.22637502
0101000020E6100000B8DDD3EE3AC852C03F7B47F033004440,0101000020110F0000A4993A4A43E75FC1F2686A271F905241,34,2019.0,201925030637,0411,2019-04-19,W,M,17,multi,N,N,N,100 BLOCK E Ontario St,1,-75.12859698,40.00158504,25,22:22:00,0,1,0,40.00158504,-75.12859698
0101000020E6100000E408002B93C852C08E6CD71999024440,0101000020110F00000D52832AD9E75FC1C987C410C7925241,35,2019.0,201925032953,0411,2019-04-28,W,M,40,multi,N,N,N,4500 BLOCK N 5th St,1,-75.13398242,40.02029727,25,03:47:00,1,0,0,40.02029727,-75.13398242
0101000020E610000048282AD939C652C0EA3C6C1AC2014440,0101000020110F0000FEE09BC3DBE35FC137C94BA4D8915241,36,2019.0,201924036829,0411,2019-04-27,B,M,22,multi,N,N,N,1500 BLOCK E Wingohocking St,0,-75.09728078,40.01373606,24,12:48:00,0,1,0,40.01373606,-75.09728078
0101000020E610000013888D6831C952C0397BEBECF9044440,0101000020110F0000518F10F4E5E85FC16174FB596A955241,37,2019.0,201935037580,0411,2019-04-28,B,M,27,chest,N,N,N,1300 BLOCK W Olney Ave,0,-75.14364065,40.03887713,35,22:56:00,0,1,0,40.03887712,-75.14364065
0101000020E6100000FB36EDF7FECA52C0093F277362FE4340,0101000020110F000006B7A6F5F5EB5FC1BCECC21D1B8E5241,38,2019.0,201922033993,0111,2019-04-26,B,M,18,head,N,N,N,2300 BLOCK Edgley St,0,-75.17181204,39.98737945,22,11:23:00,0,1,1,39.98737945,-75.17181204
0101000020E6100000FB36EDF7FECA52C0093F277362FE4340,0101000020110F000006B7A6F5F5EB5FC1BCECC21D1B8E5241,39,2019.0,201922033993,3006,2019-04-26,B,M,35,back,N,N,N,2300 BLOCK Edgley St,0,-75.17181204,39.98737945,22,11:23:00,0,1,0,39.98737945,-75.17181204
0101000020E6100000626B53C857CE52C0D3D19AB4E3F54340,0101000020110F000075862F58A5F15FC111D339A1B1845241,40,2019.0,201912033037,0411,2019-04-28,B,M,24,back,N,N,N,6300 BLOCK Lindbergh Blvd,0,-75.22410782,39.92101152,12,22:04:00,0,1,0,39.92101152,-75.22410782
0101000020E6100000C06EBF1988C852C05FA52F4280024440,0101000020110F0000F0E0F25DC6E75FC1FA86DE83AB925241,41,2019.0,201925032691,0300,2019-04-27,B,M,19,hand,N,N,N,4500 BLOCK N Lawrence St,0,-75.13330692,40.01953914,25,01:52:00,0,1,0,40.01953914,-75.13330692
0101000020E61000003C391AF215CA52C0E4558CA92A094440,0101000020110F0000F3C2A0256AEA5FC15C09D8A3109A5241,42,2019.0,201914036187,0111,2019-04-20,B,M,49,multi,N,N,N,7800 BLOCK Ogontz Ave,0,-75.15758946,40.07161445,14,19:42:00,0,1,1,40.07161445,-75.15758946
0101000020E6100000F5C3007009CE52C0B9CED8FA96FA4340,0101000020110F0000B1C5804420F15FC1F3AD2C7FE6895241,43,2019.0,201918033012,0411,2019-04-21,B,M,23,multi,N,N,N,100 BLOCK S 49th St,0,-75.21932602,39.95773254,18,14:24:00,0,1,0,39.95773254,-75.21932602
0101000020E6100000F5C3007009CE52C0B9CED8FA96FA4340,0101000020110F0000B1C5804420F15FC1F3AD2C7FE6895241,44,2019.0,201918033013,0411,2019-04-21,B,M,22,multi,N,N,N,100 BLOCK S 49th St,0,-75.21932602,39.95773254,18,14:50:00,0,1,0,39.95773254,-75.21932602
0101000020E61000009A58857287CC52C002241E79B5F74340,0101000020110F00000C36DC9F90EE5FC1C78EC979B5865241,45,2019.0,201917015948,0411,2019-04-21,B,F,36,elbow,N,N,N,1500 BLOCK S 31st St,0,-75.19576705,39.93522562,17,21:58:00,0,1,0,39.93522562,-75.19576705
0101000020E61000009A58857287CC52C002241E79B5F74340,0101000020110F00000C36DC9F90EE5FC1C78EC979B5865241,46,2019.0,201917015950,0411,2019-04-21,B,M,23,multi,N,N,N,1500 BLOCK S 31st St,0,-75.19576705,39.93522562,17,22:55:00,0,1,0,39.93522562,-75.19576705
0101000020E61000009A58857287CC52C002241E79B5F74340,0101000020110F00000C36DC9F90EE5FC1C78EC979B5865241,47,2019.0,201917015961,0411,2019-04-21,B,F,18,leg,N,N,N,1500 BLOCK S 31st St,0,-75.19576705,39.93522562,17,23:12:00,0,1,0,39.93522562,-75.19576705
0101000020E61000009A58857287CC52C002241E79B5F74340,0101000020110F00000C36DC9F90EE5FC1C78EC979B5865241,48,2019.0,201917015962,0411,2019-04-22,B,F,16,leg,N,N,N,1500 BLOCK S 31st St,0,-75.19576705,39.93522562,17,00:03:00,0,1,0,39.93522562,-75.19576705
0101000020E6100000A297723A60C752C0AD21C4D7CF024440,0101000020110F000069DC54CCCFE55FC1608593C603935241,49,2019.0,201925030970,0411,2019-04-21,W,M,24,multi,N,N,N,500 BLOCK E Louden St,0,-75.11524831,40.02196786,25,00:10:00,0,1,0,40.02196786,-75.11524831
0101000020E61000007239B93A9BCE52C0DD4F9D797FFD4340,0101000020110F0000874BE6E817F25FC1331951881F8D5241,50,2019.0,201919032619,0411,2019-04-19,B,M,15,head,N,N,N,5300 BLOCK Jefferson St,0,-75.22822445,39.98045273,19,20:16:00,0,1,0,39.98045273,-75.22822445
0101000020E6100000BFC130C333CF52C0365940F4E6FB4340,0101000020110F0000B669A6001BF35FC1992B81C85A8B5241,51,2019.0,201919032636,0411,2019-04-19,B,M,29,shoulder,N,N,N,400 BLOCK N 59th St,0,-75.23753433,39.96798566,19,23:09:00,0,1,0,39.96798566,-75.23753433
0101000020E6100000EF18812595C952C02D55920A1D024440,0101000020110F0000DB1E5A5E8FE95FC16ADF507C3D925241,52,2019.0,201939037057,0411,2019-05-07,B,M,04,buttocks,N,N,N,4100 BLOCK N Broad St,0,-75.14972818,40.01651127,39,19:50:00,0,1,0,40.01651127,-75.14972818
0101000020E6100000EF18812595C952C02D55920A1D024440,0101000020110F0000DB1E5A5E8FE95FC16ADF507C3D925241,53,2019.0,201939037072,0411,2019-05-07,B,M,27,,N,N,N,4100 BLOCK N Broad St,0,-75.14972818,40.01651127,39,20:27:00,0,1,0,40.01651127,-75.14972818
